US Government Shutdown,Citations
washingtonpost.com,33
nytimes.com,22
nbcnews.com,21
cnn.com,15
bloomberg.com,11
politico.com,9
latimes.com,8
thehill.com,8
bbc.co.uk,7
huffingtonpost.com,6
reuters.com,6
newsbusters.org,6
usatoday.com,5
businessinsider.com,5
nationaljournal.com,5
whitehouse.gov,4
beta.congress.gov,4
nydailynews.com,4
npr.org,4
washingtontimes.com,3
highbeam.com,3
abcnews.com,3
theatlanticwire.com,3
treasury.gov,3
freedomworks.org,2
blog.al.com,2
politifact.com,2
irs.gov,2
theguardian.com,2
foxnews.com,2
govtrack.us,2
gallup.com,2
rules.house.gov,2
cbsnews.com,2
ft.com,2
gao.gov,2
thomas.loc.gov,2
startribune.com,2
news.yahoo.com,2
www2.ed.gov,2
people-press.org,1
nps.gov,1
mrc.org,1
insurancejournal.com,1
wbir.com,1
ibtimes.com,1
thenews.com.mx,1
theatlantic.com,1
mediamatters.org,1
courant.com,1
ap.org,1
paymentdates.com,1
bangordailynews.com,1
hcpress.com,1
heritageaction.com,1
salon.com,1
clerk.house.gov,1
earthspan.org,1
austinchronicle.com,1
nationalreview.com,1
michiganradio.org,1
chicagotribune.com,1
afp.com,1
mywesttexas.com,1
timesrecordnews.com,1
lubbockonline.com,1
dcsafe.org,1
swampland.time.com,1
houstonchronicle.com,1
outsidethebeltway.com,1
politicususa.com,1
pottsmerc.com,1
citizen-times.com,1
abc.net.au,1
thenation.com,1
independent.co.uk,1
news.com.au,1
kfbb.com,1
langerresearch.com,1
forbes.com,1
senate.gov,1
thinkprogress.org,1
au.ibtimes.com,1
theweek.com,1
japantoday.com,1
c-spanvideo.org,1
pennlive.com,1
news.xinhuanet.com,1
yourhoustonnews.com,1
teapartypatriots.org,1
buzzfeed.com,1
fpc.state.gov,1
meadows.house.gov,1
inquisitr.com,1
ombwatch.org,1
dailycaller.com,1
fusion.net,1
heritage.org,1
americanprogress.org,1
pbs.org,1
washingtonexaminer.com,1
readingeagle.com,1
newsobserver.com,1
finance.yahoo.com,1
thedartmouth.com,1
nationalparkstraveler.com,1
talkingpointsmemo.com,1
keloland.com,1
telegraph.co.uk,1
state.gov,1
youtube.com,1
communities.washingtontimes.com,1
wbcws.org,1
slate.com,1
stripes.com,1
theglobeandmail.com,1
sanders.senate.gov,1
cbo.gov,1
kff.org,1
redstate.com,1
kansascity.com,1
mlive.com,1
mediaite.com,1
foxnewsinsider.com,1
capitalismmagazine.com,1
kansas.com,1
fullcomment.nationalpost.com,1
aljazeera.com,1
csmonitor.com,1
newstimes.com,1
