NSA Snowden,Citations
washingtonpost.com,87
theguardian.com,82
nytimes.com,51
spiegel.de,37
reuters.com,14
bbc.co.uk,14
usatoday.com,13
cnn.com,12
news.nationalpost.com,12
ap.org,8
abcnews.com,8
independent.co.uk,8
svt.se,8
wikileaks.org,8
politico.com,6
npr.org,6
news.yahoo.com,5
smh.com.au,5
lemonde.fr,5
newsroom.fb.com,5
dni.gov,5
latimes.com,4
nbcnews.com,4
forbes.com,4
arstechnica.com,4
g1.globo.com,4
abc.net.au,4
rt.com,4
wired.com,4
bloomberg.com,4
ibtimes.com,3
cbc.ca,3
haaretz.com,3
whitehouse.gov,3
foxnews.com,3
scmp.com,3
telegraph.co.uk,3
sueddeutsche.de,3
theregister.co.uk,3
articles.timesofindia.indiatimes.com,2
huffingtonpost.com,2
sleuthsayers.org,2
blogs.technet.com,2
salon.com,2
voanews.com,2
propublica.org,2
rollingstone.com,2
theatlanticwire.com,2
scotusblog.com,2
news.gov.hk,2
usnews.com,2
dailymail.co.uk,2
cbsnews.com,2
japantimes.co.jp,2
newsru.com,2
nybooks.com,2
nrc.nl,2
leahy.senate.gov,2
dagbladet.no,2
dradio.de,1
transparency.org,1
zeenews.india.com,1
leparisien.fr,1
newrepublic.com,1
elpais.com,1
intelnews.org,1
mcclatchydc.com,1
cbs42.com,1
timesonline.co.uk,1
writ.corporate.findlaw.com,1
gigaom.com,1
medianama.com,1
masslive.com,1
computing.co.uk,1
boozallen.com,1
markudall.senate.gov,1
gretawire.foxnewsinsider.com,1
wgrz.com,1
de.scribd.com,1
democracynow.org,1
sfgate.com,1
buzzfeed.com,1
chicagotribune.com,1
afp.com,1
articles.economictimes.indiatimes.com,1
video.mit.edu,1
motherjones.com,1
law.cornell.edu,1
ndr.de,1
articles.chicagotribune.com,1
thenation.com,1
thehindu.com,1
thetimes.co.uk,1
top.rbc.ru,1
internacional.elpais.com,1
international.sueddeutsche.de,1
venturebeat.com,1
rcpmag.com,1
theaustralian.com.au,1
mcall.com,1
quinnipiac.edu,1
thelocal.se,1
businessinsider.com,1
whistleblower.org,1
electrospaces.blogspot.nl,1
duncan.gn.apc.org,1
blog.ted.com,1
freebeacon.com,1
mediaite.com,1
govtrack.us,1
ibnlive.in.com,1
wvec.com,1
thehill.com,1
thestandard.com.hk,1
hindustantimes.com,1
indexoncensorship.org,1
pbs.org,1
pollingreport.com,1
ft.com,1
mirror.co.uk,1
techcrunch.com,1
indianexpress.com,1
nydailynews.com,1
livemint.com,1
lehighvalleylive.com,1
thenews.pl,1
dailydot.com,1
investvine.com,1
numerama.com,1
kommersant.ru,1
elmundo.es,1
youtube.com,1
i2.cdn.turner.com,1
chron.com,1
slate.com,1
telegraaf.nl,1
handelszeitung.ch,1
freesnowden.is,1
hrw.org,1
www2.itif.org,1
rediff.com,1
theglobeandmail.com,1
sverigesradio.se,1
globalpost.com,1
emol.com,1
info.gov.hk,1
amnesty.org,1
allthingsd.com,1
zdnet.com,1
firstpost.com,1
world.time.com,1
rfi.fr,1
theage.com.au,1
nieuws.nl,1
zdnet.fr,1
espresso.repubblica.it,1
cphpost.dk,1
aljazeera.com,1
