Syrian Civil War,Citations
reuters.com,47
nytimes.com,38
bbc.co.uk,38
cnn.com,20
theguardian.com,20
dailystar.com.lb,17
aljazeera.com,16
lccsyria.org,13
english.alarabiya.net,10
telegraph.co.uk,10
news.yahoo.com,9
afp.com,8
globalpost.com,8
facebook.com,8
usatoday.com,7
foxnews.com,7
naharnet.com,7
washingtonpost.com,7
huffingtonpost.com,6
independent.co.uk,6
understandingwar.org,6
npr.org,6
syriahr.com,5
english.ahram.org.eg,5
al-monitor.com,5
france24.com,4
timesofisrael.com,4
ncr-iran.org,4
amnesty.org,4
jpost.com,4
hrw.org,4
trust.org,4
vdc-sy.org,4
syrianshuhada.com,4
books.google.com,3
ap.org,3
longwarjournal.org,3
washingtoninstitute.org,3
dx.doi.org,3
ndtv.com,3
latimes.com,3
presstv.ir,3
israelnationalnews.com,3
voanews.com,3
foreignpolicy.com,3
thehindu.com,3
worldbulletin.net,3
middle-east-online.com,3
mcclatchydc.com,3
hurriyetdailynews.com,3
world.time.com,3
ohchr.org,2
ynetnews.com,2
news24.com,2
news.xinhuanet.com,2
yalibnan.com,2
abcnews.com,2
haaretz.com,2
en.apa.az,2
themontrealreview.com,2
lorientlejour.com,2
gulfnews.com,2
rt.com,2
cbsnews.com,2
washingtonexaminer.com,2
timesofoman.com,2
channelnewsasia.com,2
nsnbc.me,2
mercurynews.com,2
alarabiya.net,2
english.al-akhbar.com,2
thenews.com.pk,2
csmonitor.com,2
economist.com,2
huffingtonpost.co.uk,2
washingtontimes.com,1
jstor.org,1
reason.com,1
zeenews.india.com,1
articles.timesofindia.indiatimes.com,1
businessinsider.com.au,1
arabtimesonline.com,1
ncfpeace.org,1
yemen-press.com,1
oslobodjenje.ba,1
aa.com.tr,1
irishtimes.com,1
report2009.amnesty.org,1
nowlebanon.com,1
ansa.it,1
journalistsresource.org,1
arabamericannews.com,1
icsr.info,1
jadaliyya.com,1
untribune.com,1
dnaindia.com,1
seattletimes.nwsource.com,1
jamestown.org,1
un.org,1
stowsentry.com,1
ctc.usma.edu,1
nileinternational.net,1
news.com.au,1
couriermail.com.au,1
timesofindia.indiatimes.com,1
nbcnews.com,1
smh.com.au,1
greenwichtime.com,1
chicagotribune.com,1
thesundaily.my,1
abna.ir,1
en.trend.az,1
3news.co.nz,1
lrb.co.uk,1
rightsidenews.com,1
vancouversun.com,1
thestar.com,1
centralasiaonline.com,1
internal-displacement.org,1
bangkokpost.com,1
todayszaman.com,1
rferl.org,1
ottawacitizen.com,1
harpers.org,1
brecorder.com,1
sbs.com.au,1
upi.com,1
globaltimes.cn,1
time.com,1
saudigazette.com.sa,1
businessinsider.com,1
news.ninemsn.com.au,1
thedailybeast.com,1
dailykos.com,1
abs-cbnnews.com,1
nwherald.com,1
womenundersiegeproject.org,1
dailymail.co.uk,1
itv.com,1
canada.com,1
stuff.co.nz,1
wired.com,1
wvrecord.com,1
pbs.org,1
arabtoday.net,1
blazingcatfur.blogspot.com,1
ft.com,1
crisisgroup.org,1
www6.arabnews.com,1
wpxi.com,1
joshualandis.com,1
yle.fi,1
ibtimes.co.in,1
lse.co.uk,1
news.kuwaittimes.net,1
motherjones.com,1
rts.rs,1
thejakartapost.com,1
nybooks.com,1
supportkurds.org,1
mideastweb.org,1
irusa.org,1
theepochtimes.com,1
state.gov,1
beta.dawn.com,1
coat.ncf.ca,1
nst.com.my,1
ansamed.ansa.it,1
news.findlaw.com,1
newyorker.com,1
bloomberg.com,1
bostonherald.com,1
metro.co.uk,1
dutchnews.nl,1
utsandiego.com,1
startribune.com,1
worldtribune.com,1
sana.sy,1
post-gazette.com,1
paper.standartnews.com,1
iamsyria.org,1
thestar.com.my,1
usaid.gov,1
terrorism-info.org.il,1
imemc.org,1
dawn.com,1
adn.com,1
jafrianews.com,1
astrium-geo.com,1
bakhtarnews.com.af,1
tnr.com,1
therepublic.com,1
novinite.com,1
cphpost.dk,1
chinadaily.com.cn,1
newstimes.com,1
