Domain,Citations
bbc.co.uk,35
nytimes.com,30
books.google.com,28
theguardian.com,23
bbc.com,22
cnn.com,21
reuters.com,18
taipeitimes.com,17
wsj.com,15
jacc.gov.au,15
telegraph.co.uk,14
olympic.org,13
suezcanal.gov.eg,9
smh.com.au,9
washingtonpost.com,8
malaysiaairlines.com,7
nbcnews.com,7
time.com,7
bjstats.gov.cn,7
scmp.com,7
usatoday.com,7
news.com.au,7
chinapost.com.tw,6
abcnews.com,6
latimes.com,6
news.yahoo.com,6
chinadaily.com.cn,6
themalaymailonline.com,5
gio.gov.tw,5
news.sky.com,5
britannica.com,5
dailynewsegypt.com,5
focustaiwan.tw,5
cbc.ca,5
espn.go.com,5
dailymail.co.uk,5
lemonde.fr,4
china.org.cn,4
straitstimes.com,4
theglobeandmail.com,4
whc.unesco.org,4
english.ahram.org.eg,4
hollywoodreporter.com,4
themalaysianinsider.com,4
atsb.gov.au,4
censusindia.gov.in,3
web.archive.org,3
deseretnews.com,3
taiwanreview.nat.gov.tw,3
variety.com,3
voanews.com,3
www2.nst.com.my,3
thestar.com.my,3
amsa.gov.au,3
abc.net.au,3
theaustralian.com.au,3
npr.org,3
flightglobal.com,3
bloomberg.com,3
nst.com.my,3
nhi.gov.tw,3
srh.noaa.gov,3
guampdn.com,3
independent.co.uk,3
weather.com,3
news.google.com,3
theatlantic.com,2
e-c-h-o.org,2
findarticles.com,2
denverpost.com,2
ibef.org,2
news.xinhuanet.com,2
hindustantimes.com,2
etaiwannews.com,2
economictimes.indiatimes.com,2
ndrrmc.gov.ph,2
caironews.net,2
libertytimes.com.tw,2
inmarsat.com,2
archive.org,2
eng.stat.gov.tw,2
ndtv.com,2
ntsb.gov,2
fda.gov,2
desertsun.com,2
planningcommission.nic.in,2
centreforaviation.com,2
insee.fr,2
youtube.com,2
radionz.co.nz,2
arte.tv,2
bwca.com.cn,2
cdc.cma.gov.cn,2
taiwantoday.tw,2
economist.com,2
aviationweek.com,2
wunderground.com,2
imf.org,2
businessinsider.com,2
books.google.de,2
avis-de-deces.net,2
newsweek.com,2
sowf.moi.gov.tw,2
kajima.co.jp,2
aljazeera.com,2
jstor.org,2
zeenews.india.com,2
articles.timesofindia.indiatimes.com,2
huffingtonpost.com,2
dca.gov.my,2
phys.org,2
nhc.noaa.gov,2
ec.europa.eu,2
lohud.com,2
ibtimes.co.uk,2
thestandard.com.hk,2
foxnews.com,2
news.stanford.edu,2
spokesman.com,2
taiwandc.org,2
mh370.dca.gov.my,2
ft.com,2
people.fas.harvard.edu,2
english.peopledaily.com.cn,2
autonews.gasgoo.com,2
chinatour.net,1
georgewbush-whitehouse.archives.gov,1
aviation-safety.net,1
accuweather.com,1
mountpleasantgroup.permavita.com,1
finance.people.com.cn,1
thenewamerican.com,1
bernama.com,1
sundancechannel.com,1
newworldencyclopedia.org,1
beijingww.qianlong.com,1
taiwanpedia.culture.tw,1
emdb.gov.eg,1
biophysics.sbg.ac.at,1
amsglossary.allenpress.com,1
nlm.nih.gov,1
wto.org,1
encyclopedia2.tfd.com,1
fkss.ca,1
nws.noaa.gov,1
us-taiwan.org,1
news.china.com,1
usslittlerock.org,1
eveningtimes.co.uk,1
dangshi.people.com.cn,1
brussels38.icann.org,1
aftonbladet.se,1
theledger.com,1
khulsey.com,1
aci.aero,1
thetimes.co.uk,1
english.president.gov.tw,1
flightradar24.com,1
scotsman.com,1
popularmechanics.com,1
wwwnc.cdc.gov,1
faz.net,1
slavic.fas.harvard.edu,1
weathereye.kgan.com,1
volcanodiscovery.com,1
ebeijing.gov.cn,1
gamesbids.com,1
israelcfr.com,1
sueddeutsche.de,1
s3-ap-southeast-2.amazonaws.com,1
tuniu.com,1
realidade.com.br,1
articles.nydailynews.com,1
sportsbusinessdaily.com,1
madhya-pradesh-tourism.com,1
yle.fi,1
cbsnews.com,1
mac.gov.tw,1
wistv.com,1
