Domain,Citations
theguardian.com,43
nytimes.com,40
espn.go.com,32
nba.com,26
ncronline.org,23
cnn.com,21
washingtonpost.com,21
fifa.com,20
blackhawks.nhl.com,20
bbc.co.uk,18
nbcnews.com,18
nla.gov.au,12
reuters.com,12
telegraph.co.uk,11
nhl.com,10
usopen.com,10
lanacion.com.ar,10
cbssports.com,9
news.va,9
tvmediainsights.com,9
usatoday.com,9
news.yahoo.com,9
postandcourier.com,8
sfgate.com,8
bbc.com,8
vatican.va,8
sports.espn.go.com,8
cbc.ca,8
lightning.nhl.com,7
catholicnewsagency.com,7
time.com,7
sports.yahoo.com,7
tampabay.com,7
independent.co.uk,7
catholicnews.com,6
books.google.com,6
abcnews.com,6
aljazeera.com,6
latimes.com,6
chicagotribune.com,5
cruxnow.com,5
pgatour.com,5
filmtracks.com,5
english.astroawani.com,5
vaticaninsider.lastampa.it,5
dailymail.co.uk,5
w2.vatican.va,4
wsj.com,4
dawn.com,4
scores.espn.go.com,4
nydailynews.com,4
thestar.com,4
tvbythenumbers.zap2it.com,4
espnmediazone.com,4
npr.org,4
bloomberg.com,4
articles.chicagotribune.com,4
advocate.com,4
sportingnews.com,4
catholicherald.co.uk,3
theatlantic.com,3
allmusic.com,3
athletics.com.au,3
cbsnews.com,3
variety.com,3
perfil.com,3
heavy.com,3
csmonitor.com,3
nwbachfest.com,3
blog.sfgate.com,3
resources.fifa.com,3
earthobservatory.nasa.gov,3
census.gov,3
owgr.com,3
thestar.com.my,3
abc.net.au,3
en.radiovaticana.va,3
si.com,3
bleacherreport.com,3
hollywoodreporter.com,3
dailytimes.com.pk,3
chiesa.espresso.repubblica.it,3
huffingtonpost.com,3
mercurynews.com,3
contenidos2.clarin.com,2
straitstimes.com,2
ipcc.ch,2
rollingstone.com,2
sportsmediawatch.com,2
nap.edu,2
wistv.com,2
corriere.it,2
courtside.nba.com,2
theglobeandmail.com,2
books.google.com.ar,2
fox8.com,2
globalnews.ca,2
poy.time.com,2
msn.com,2
world.time.com,2
buenosairesherald.com,2
factfinder2.census.gov,2
thewrap.com,2
uefa.com,2
mediacentral.nba.com,2
ibtimes.com,2
fws.gov,2
espncleveland.com,2
dallasnews.com,2
blogs.mercurynews.com,2
gawker.com,2
thenation.com,2
fivethirtyeight.com,2
golfweek.com,2
pbs.org,2
sportsnet.ca,2
talkingpointsmemo.com,2
fao.org,2
thehockeynews.com,2
tsn.ca,2
thenews.com.pk,2
nst.com.my,2
ncregister.com,2
foxsports.com,2
equalizersoccer.com,2
nasa.gov,2
timesofindia.indiatimes.com,2
smh.com.au,2
buzzfeed.com,2
jesuiten.org,2
europeantour.com,2
savannahnow.com,2
aica.org,2
lastampa.it,2
religionnews.com,2
ajga.org,2
newyorker.com,2
myfox8.com,1
stats.nba.com,1
slippedisc.com,1
