US Economy,Citations
research.stlouisfed.org,8
bls.gov,7
cnn.com,5
pubdb3.census.gov,5
imf.org,5
news.xinhuanet.com,4
bbc.co.uk,4
heritage.org,4
census.gov,3
books.google.com,3
forbes.com,3
nytimes.com,3
bea.gov,3
greyhill.com,3
nbcnews.com,2
esoltas.blogspot.com,2
bloomberg.com,2
www2.census.gov,2
theatlantic.com,2
theguardian.com,2
washingtonpost.com,2
cbo.gov,2
usdebtclock.org,2
time.com,2
prospect.org,2
cbpp.org,2
federalreserve.gov,2
treasurydirect.gov,2
doingbusiness.org,2
books.nap.edu,1
shopfloor.org,1
nyxdata.com,1
youtube.com,1
nasdaq.com,1
econpost.com,1
esa.doc.gov,1
slate.com,1
bts.gov,1
nap.edu,1
gcr.weforum.org,1
napavalleyregister.com,1
digitalhistory.uh.edu,1
pnhp.org,1
floridatoday.com,1
huduser.org,1
isuppli.com,1
lanekenworthy.net,1
usnews.com,1
finfacts.com,1
boston.com:80,1
lccn.loc.gov,1
brookings.edu,1
people.hbs.edu,1
econlib.org,1
whitehouse.gov,1
articles.moneycentral.msn.com,1
huffingtonpost.com,1
globalcrisisnews.com,1
taxfoundation.org,1
nber.org,1
fai.org,1
ft.com,1
reason.com,1
eh.net,1
globalindex11.bsa.org,1
questia.com,1
ita.doc.gov,1
dailyfinance.com,1
foreignaffairs.org,1
usatoday.com,1
wsbe.unh.edu,1
dx.doi.org,1
gpoaccess.gov,1
briskfox.com,1
business.time.com,1
unc.edu,1
nvca.org,1
cepr.net,1
spiegel.de,1
sba.gov,1
standardandpoors.com,1
economist.com,1
NSA Snowden,Citations
washingtonpost.com,87
theguardian.com,82
nytimes.com,51
spiegel.de,37
reuters.com,14
bbc.co.uk,14
usatoday.com,13
cnn.com,12
news.nationalpost.com,12
ap.org,8
abcnews.com,8
independent.co.uk,8
svt.se,8
wikileaks.org,8
politico.com,6
npr.org,6
news.yahoo.com,5
smh.com.au,5
lemonde.fr,5
newsroom.fb.com,5
dni.gov,5
latimes.com,4
nbcnews.com,4
forbes.com,4
arstechnica.com,4
g1.globo.com,4
abc.net.au,4
rt.com,4
wired.com,4
bloomberg.com,4
ibtimes.com,3
cbc.ca,3
haaretz.com,3
whitehouse.gov,3
foxnews.com,3
scmp.com,3
telegraph.co.uk,3
sueddeutsche.de,3
theregister.co.uk,3
articles.timesofindia.indiatimes.com,2
huffingtonpost.com,2
sleuthsayers.org,2
blogs.technet.com,2
salon.com,2
voanews.com,2
propublica.org,2
rollingstone.com,2
theatlanticwire.com,2
scotusblog.com,2
news.gov.hk,2
usnews.com,2
dailymail.co.uk,2
cbsnews.com,2
japantimes.co.jp,2
newsru.com,2
nybooks.com,2
nrc.nl,2
leahy.senate.gov,2
dagbladet.no,2
dradio.de,1
transparency.org,1
zeenews.india.com,1
leparisien.fr,1
newrepublic.com,1
elpais.com,1
intelnews.org,1
mcclatchydc.com,1
cbs42.com,1
timesonline.co.uk,1
writ.corporate.findlaw.com,1
gigaom.com,1
medianama.com,1
masslive.com,1
computing.co.uk,1
boozallen.com,1
markudall.senate.gov,1
gretawire.foxnewsinsider.com,1
wgrz.com,1
de.scribd.com,1
democracynow.org,1
sfgate.com,1
buzzfeed.com,1
chicagotribune.com,1
afp.com,1
articles.economictimes.indiatimes.com,1
video.mit.edu,1
motherjones.com,1
law.cornell.edu,1
ndr.de,1
articles.chicagotribune.com,1
thenation.com,1
thehindu.com,1
thetimes.co.uk,1
top.rbc.ru,1
internacional.elpais.com,1
international.sueddeutsche.de,1
venturebeat.com,1
rcpmag.com,1
theaustralian.com.au,1
mcall.com,1
quinnipiac.edu,1
thelocal.se,1
businessinsider.com,1
whistleblower.org,1
electrospaces.blogspot.nl,1
duncan.gn.apc.org,1
blog.ted.com,1
freebeacon.com,1
mediaite.com,1
govtrack.us,1
ibnlive.in.com,1
wvec.com,1
thehill.com,1
thestandard.com.hk,1
hindustantimes.com,1
indexoncensorship.org,1
pbs.org,1
pollingreport.com,1
ft.com,1
mirror.co.uk,1
techcrunch.com,1
indianexpress.com,1
nydailynews.com,1
livemint.com,1
lehighvalleylive.com,1
thenews.pl,1
dailydot.com,1
investvine.com,1
numerama.com,1
kommersant.ru,1
elmundo.es,1
youtube.com,1
i2.cdn.turner.com,1
chron.com,1
slate.com,1
telegraaf.nl,1
handelszeitung.ch,1
freesnowden.is,1
hrw.org,1
www2.itif.org,1
rediff.com,1
theglobeandmail.com,1
sverigesradio.se,1
globalpost.com,1
emol.com,1
info.gov.hk,1
amnesty.org,1
allthingsd.com,1
zdnet.com,1
firstpost.com,1
world.time.com,1
rfi.fr,1
theage.com.au,1
nieuws.nl,1
zdnet.fr,1
espresso.repubblica.it,1
cphpost.dk,1
aljazeera.com,1
Egypt Coup,Citations
english.ahram.org.eg,49
aljazeera.com,37
bbc.co.uk,22
egyptindependent.com,18
reuters.com,17
dailynewsegypt.com,12
huffingtonpost.com,9
theguardian.com,9
cnn.com,7
nytimes.com,6
english.alarabiya.net,6
telegraph.co.uk,6
news.yahoo.com,5
foxnews.com,5
hurriyetdailynews.com,5
nbcnews.com,4
voanews.com,4
independent.co.uk,4
al-monitor.com,4
npr.org,4
cbsnews.com,4
madamasr.com,3
thestar.com,3
washingtonpost.com,3
oilprice.com,3
newsmax.com,3
washingtontimes.com,2
dx.doi.org,2
cbc.ca,2
news.sky.com,2
jpost.com,2
chicagotribune.com,2
youtube.com,2
ap.org,2
theaustralian.com.au,2
bloomberg.com,2
theatlanticwire.com,2
dw.de,2
middleeastmonitor.com,2
interaksyon.com,1
articles.timesofindia.indiatimes.com,1
amnesty.org.uk,1
news.smh.com.au,1
irishtimes.com,1
focac.org,1
usatoday.com,1
ynetnews.com,1
straitstimes.com,1
mondediplo.com,1
wdsu.com,1
hotair.com,1
cpj.org,1
sudantribune.com,1
israelnationalnews.com,1
tripolipost.com,1
ikhwanweb.com,1
whitehouse.gov,1
thenation.com,1
deseretnews.com,1
humanevents.com,1
amazon.com,1
freep.com,1
aawsat.net,1
upi.com,1
cancilleria.gov.co,1
carnegieendowment.org,1
en.rian.ru,1
thenational.ae,1
english.pnn.ps,1
dailykos.com,1
presstv.com,1
rt.com,1
translate.google.com,1
gallup.com,1
dailymail.co.uk,1
itv.com,1
canada.com,1
hindustantimes.com,1
bdlive.co.za,1
usat.ly,1
worldbulletin.net,1
expressandstar.com,1
ft.com,1
allafrica.com,1
en.harakahdaily.net,1
talkingpointsmemo.com,1
buenosairesherald.com,1
dailystar.com.lb,1
swampland.time.com,1
weekly.ahram.org.eg,1
hrw.org,1
metro.co.uk,1
trust.org,1
